WorkerId,QuestionToBeRated1,QuestionToBeRated2,QuestionToBeRated3,QuestionToBeRated4,QuestionToBeRated5,Response1,Response2,Response3,Response4,Response5,R1Rated,R2Rated,R3Rated,R4Rated,R5Rated
worker20,I am stressed about my childcare responsibilities.,I am worried about balancing my social and work life.,"I am concerned about my mental health, I am having trouble finding time for self care.",I am nervous about making new friends and having a good social life.,I am being stressed by my roommates being loud and not paying attention to roommate agreement. ,try asking other people for help,go to a party,it will get better,message people on social media,find new roommates,1,2,5,2,4
worker21,I am worried about not finding a job or internship for next summer. ,I am worried about being able to pay for rent and having enough money to buy food.,"My friends and family think that the COVID-19 vaccine will be detrimental to my health, so I am not sure whether or not I should take the vaccine.",I am worried about balancing my social and work life.,I am nervous about making new friends and having a good social life.,"try changing diet, it will make you feel better",do leetcode,look for sales and promotions,dont party in the pandemic,find a reason to love yourself everyday,3,3,6,2,10
worker22,I am worried about not finding a job or internship for next summer. ,I am worried about being able to pay for rent and having enough money to buy food.,"My friends and family think that the COVID-19 vaccine will be detrimental to my health, so I am not sure whether or not I should take the vaccine.",I am worried about balancing my social and work life.,I am nervous about making new friends and having a good social life.,"try changing diet, it will make you feel better",do leetcode,look for sales and promotions,dont party in the pandemic,find a reason to love yourself everyday,5,2,3,10,10
worker23,I am worried about not finding a job or internship for next summer. ,I am worried about being able to pay for rent and having enough money to buy food.,"My friends and family think that the COVID-19 vaccine will be detrimental to my health, so I am not sure whether or not I should take the vaccine.",I am worried about balancing my social and work life.,I am nervous about making new friends and having a good social life.,"try changing diet, it will make you feel better",do leetcode,look for sales and promotions,dont party in the pandemic,find a reason to love yourself everyday,3,1,7,5,9
worker24,I am worried about not finding a job or internship for next summer. ,I am worried about being able to pay for rent and having enough money to buy food.,"My friends and family think that the COVID-19 vaccine will be detrimental to my health, so I am not sure whether or not I should take the vaccine.",I am worried about balancing my social and work life.,I am nervous about making new friends and having a good social life.,"try changing diet, it will make you feel better",do leetcode,look for sales and promotions,dont party in the pandemic,find a reason to love yourself everyday,2,4,4,5,6
worker25,I am worried about not finding a job or internship for next summer. ,I am worried about being able to pay for rent and having enough money to buy food.,"My friends and family think that the COVID-19 vaccine will be detrimental to my health, so I am not sure whether or not I should take the vaccine.",I am worried about balancing my social and work life.,I am nervous about making new friends and having a good social life.,"try changing diet, it will make you feel better",do leetcode,look for sales and promotions,dont party in the pandemic,find a reason to love yourself everyday,5,5,2,3,9
worker26,"I am concerned about exams and schoolwork. I’m not doing well in school, and I’m worried about my grades.",I am concerned about COVID-19 uncertainty and my health.,I am stressed about my childcare responsibilities.,"I am concerned about my mental health, I am having trouble finding time for self care.",I am being stressed by my roommates being loud and not paying attention to roommate agreement. ,drink more water,study a little everyday,try a new sport,try a new hobby,dont think about it,5,3,1,4,2
worker27,"I am concerned about exams and schoolwork. I’m not doing well in school, and I’m worried about my grades.",I am concerned about COVID-19 uncertainty and my health.,I am stressed about my childcare responsibilities.,"I am concerned about my mental health, I am having trouble finding time for self care.",I am being stressed by my roommates being loud and not paying attention to roommate agreement. ,drink more water,study a little everyday,try a new sport,try a new hobby,dont think about it,5,8,4,2,5
worker28,"I am concerned about exams and schoolwork. I’m not doing well in school, and I’m worried about my grades.",I am concerned about COVID-19 uncertainty and my health.,I am stressed about my childcare responsibilities.,"I am concerned about my mental health, I am having trouble finding time for self care.",I am being stressed by my roommates being loud and not paying attention to roommate agreement. ,drink more water,study a little everyday,try a new sport,try a new hobby,dont think about it,9,10,3,2,5
worker29,"I am concerned about exams and schoolwork. I’m not doing well in school, and I’m worried about my grades.",I am concerned about COVID-19 uncertainty and my health.,I am stressed about my childcare responsibilities.,"I am concerned about my mental health, I am having trouble finding time for self care.",I am being stressed by my roommates being loud and not paying attention to roommate agreement. ,drink more water,study a little everyday,try a new sport,try a new hobby,dont think about it,4,2,3,4,7
worker30,"I am concerned about exams and schoolwork. I’m not doing well in school, and I’m worried about my grades.",I am concerned about COVID-19 uncertainty and my health.,I am stressed about my childcare responsibilities.,"I am concerned about my mental health, I am having trouble finding time for self care.",I am being stressed by my roommates being loud and not paying attention to roommate agreement. ,drink more water,study a little everyday,try a new sport,try a new hobby,dont think about it,5,5,8,9,3
worker31,I am being stressed by my roommates being loud and not paying attention to roommate agreement. ,I am nervous about making new friends and having a good social life.,"I am concerned about my mental health, I am having trouble finding time for self care.",I am worried about balancing my social and work life.,I am stressed about my childcare responsibilities.,tell them to be less loud,eat more veggies,try cooking,it will be okay,you got this,2,7,9,4,10
worker32,I am being stressed by my roommates being loud and not paying attention to roommate agreement. ,I am nervous about making new friends and having a good social life.,"I am concerned about my mental health, I am having trouble finding time for self care.",I am worried about balancing my social and work life.,I am stressed about my childcare responsibilities.,tell them to be less loud,eat more veggies,try cooking,it will be okay,you got this,5,6,7,3,2
worker33,I am being stressed by my roommates being loud and not paying attention to roommate agreement. ,I am nervous about making new friends and having a good social life.,"I am concerned about my mental health, I am having trouble finding time for self care.",I am worried about balancing my social and work life.,I am stressed about my childcare responsibilities.,tell them to be less loud,eat more veggies,try cooking,it will be okay,you got this,1,3,5,3,6
worker34,I am being stressed by my roommates being loud and not paying attention to roommate agreement. ,I am nervous about making new friends and having a good social life.,,I am worried about balancing my social and work life.,I am stressed about my childcare responsibilities.,tell them to be less loud,eat more veggies,try cooking,it will be okay,you got this,3,4,7,10,9
worker35,I am being stressed by my roommates being loud and not paying attention to roommate agreement. ,I am nervous about making new friends and having a good social life.,"I am concerned about my mental health, I am having trouble finding time for self care.",I am worried about balancing my social and work life.,I am stressed about my childcare responsibilities.,tell them to be less loud,eat more veggies,try cooking,it will be okay,you got this,5,4,3,1,10
worker36,"My friends and family think that the COVID-19 vaccine will be detrimental to my health, so I am not sure whether or not I should take the vaccine.",I am concerned about COVID-19 uncertainty and my health.,I am worried about being able to pay for rent and having enough money to buy food.,"I am concerned about exams and schoolwork. I’m not doing well in school, and I’m worried about my grades.",I am worried about not finding a job or internship for next summer. ,sign up to get the vaccine shot,try to relax,dont eat out,try talking to Weingarten,it will all work out,6,4,3,2,8
worker37,"My friends and family think that the COVID-19 vaccine will be detrimental to my health, so I am not sure whether or not I should take the vaccine.",I am concerned about COVID-19 uncertainty and my health.,I am worried about being able to pay for rent and having enough money to buy food.,"I am concerned about exams and schoolwork. I’m not doing well in school, and I’m worried about my grades.",I am worried about not finding a job or internship for next summer. ,sign up to get the vaccine shot,try to relax,dont eat out,try talking to Weingarten,it will all work out,5,4,3,9,4
worker38,"My friends and family think that the COVID-19 vaccine will be detrimental to my health, so I am not sure whether or not I should take the vaccine.",I am concerned about COVID-19 uncertainty and my health.,I am worried about being able to pay for rent and having enough money to buy food.,"I am concerned about exams and schoolwork. I’m not doing well in school, and I’m worried about my grades.",I am worried about not finding a job or internship for next summer. ,sign up to get the vaccine shot,try to relax,dont eat out,try talking to Weingarten,it will all work out,4,3,4,4,2
worker39,"My friends and family think that the COVID-19 vaccine will be detrimental to my health, so I am not sure whether or not I should take the vaccine.",I am concerned about COVID-19 uncertainty and my health.,I am worried about being able to pay for rent and having enough money to buy food.,"I am concerned about exams and schoolwork. I’m not doing well in school, and I’m worried about my grades.",I am worried about not finding a job or internship for next summer. ,sign up to get the vaccine shot,try to relax,dont eat out,try talking to Weingarten,it will all work out,10,3,4,5,2
worker40,"My friends and family think that the COVID-19 vaccine will be detrimental to my health, so I am not sure whether or not I should take the vaccine.",I am concerned about COVID-19 uncertainty and my health.,I am worried about being able to pay for rent and having enough money to buy food.,"I am concerned about exams and schoolwork. I’m not doing well in school, and I’m worried about my grades.",I am worried about not finding a job or internship for next summer. ,sign up to get the vaccine shot,try to relax,dont eat out,try talking to Weingarten,it will all work out,4,5,6,4,3
